IDENTIFIER,en,zh-hans,ru
CULTURE_en,Français,Français,Français
CULTURE_ru,Pусский,Pусский,Pусский
CULTURE_zh-hans,简体中文,简体中文,简体中文
UI_PAUSE,Pause\n<size=60%><alpha=#99>[SPACE],暂停\n<size=60%><alpha=#99>[空格],Пауза\n<size=60%><alpha=#99>[Пробел]
UI_UNPAUSE,Reprendre\n<size=60%><alpha=#99>[SPACE],继续游戏\n<size=60%><alpha=#99>[空格],Продолжить\n<size=60%><alpha=#99>[Пробел]
UI_NORMALSPEED,Normal\n<size=60%><alpha=#99>[N],普通速度\n<size=60%><alpha=#99>[N],Обычная\n<size=60%><alpha=#99>[T]
UI_FASTSPEED,Accélérer\n<size=60%><alpha=#99>[M],快进\n<size=60%><alpha=#99>[M],Быстрая\n<size=60%><alpha=#99>[Ь]
UI_CLICK_TO_NAME,[cliquer pour renommer] ,[点击此处起名],[впишите имя]
UI_RELOAD,Charger,重新载入 ,Перезагрузить
UI_CONTINUE,Continuer,继续游戏,Продолжить
UI_RESUME,Reprendre,继续游戏,Продолжить
UI_RESTART,REDEMARRER,重开游戏,Начать заново
UI_RESTARTSURE,ETES-VOUS SUR ?,确定重开？,Вы уверены?
UI_BROWSE,Charger,浏览文件,Открыть файлы
UI_SAVEEXIT,Sauver & Quitter,保存并退出,Сохранить и выйти
UI_OPTIONS,Options\n<size=60%><alpha=#99>[ESC],选项\n<size=60%><alpha=#99>[ESC],Настройки\n<size=60%><alpha=#99>[ESC]
UI_CORRUPTSAVE,La session en cours est corrompue,当前会话出错,Файл поврежден
